mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
2.326,0.988,1.341,0.036,0.038,0.014,1.43,54.516,0.0
2.387,0.987,1.25,0.039,0.042,0.017,1.349,56.095,0.0
2.302,0.985,1.299,0.038,0.042,0.015,1.393,55.724,0.0
2.444,0.988,1.275,0.036,0.035,0.014,1.36,55.153,0.0
2.356,0.985,1.246,0.042,0.047,0.017,1.353,58.58,0.0
2.286,0.985,1.263,0.038,0.041,0.016,1.358,58.399,0.0
2.348,0.988,1.316,0.04,0.036,0.017,1.409,55.703,0.0
2.196,0.985,1.251,0.037,0.044,0.015,1.348,54.942,0.0
2.114,0.988,1.284,0.036,0.035,0.013,1.369,53.89,0.0
2.262,0.99,1.362,0.033,0.03,0.013,1.438,54.684,0.0
2.285,0.986,1.296,0.032,0.043,0.016,1.387,54.466,0.0
2.258,0.989,1.365,0.038,0.032,0.013,1.449,54.932,0.0
2.367,0.987,1.306,0.033,0.04,0.012,1.391,54.521,0.0
2.293,0.99,1.307,0.033,0.033,0.015,1.388,55.173,0.0
2.316,0.99,1.294,0.033,0.034,0.013,1.373,55.118,0.0
2.33,0.987,1.364,0.035,0.039,0.014,1.451,55.795,0.0
2.29,0.99,1.319,0.034,0.032,0.016,1.401,60.281,0.0
2.44,0.988,1.293,0.036,0.035,0.013,1.377,54.541,0.0
2.413,0.989,1.257,0.032,0.034,0.015,1.337,55.497,0.0
2.446,0.988,1.23,0.03,0.035,0.013,1.307,66.071,0.0
2.146,0.989,1.273,0.031,0.035,0.011,1.351,62.53,0.0
2.332,0.989,1.285,0.035,0.033,0.014,1.367,55.387,0.0
2.447,0.99,1.237,0.031,0.03,0.011,1.309,61.0,0.0
2.308,0.992,1.248,0.028,0.027,0.011,1.314,65.531,0.0
2.348,0.99,1.329,0.031,0.029,0.01,1.4,55.164,0.0
2.39,0.989,1.288,0.029,0.033,0.012,1.362,54.863,0.0
2.43,0.989,1.264,0.033,0.031,0.012,1.339,55.168,0.0
2.498,0.989,1.275,0.031,0.036,0.012,1.353,55.173,0.0
2.407,0.99,1.281,0.03,0.031,0.014,1.355,66.915,0.0
2.28,0.991,1.314,0.031,0.027,0.01,1.382,56.476,0.0
2.343,0.989,1.232,0.032,0.035,0.013,1.312,55.023,0.0
2.282,0.99,1.285,0.027,0.031,0.012,1.356,55.585,0.0
2.383,0.989,1.303,0.028,0.035,0.015,1.382,53.467,0.0
2.534,0.991,1.338,0.03,0.029,0.009,1.407,54.805,0.0
2.3,0.989,1.366,0.035,0.035,0.015,1.452,55.749,0.0
2.296,0.991,1.28,0.029,0.03,0.01,1.349,54.288,0.0
2.434,0.993,1.268,0.026,0.021,0.01,1.324,54.976,0.0
2.403,0.991,1.288,0.027,0.027,0.009,1.352,54.997,0.0
2.454,0.99,1.288,0.028,0.03,0.012,1.358,56.969,0.0
2.4,0.992,1.253,0.026,0.026,0.012,1.318,55.028,0.0
2.313,0.993,1.235,0.029,0.023,0.01,1.297,55.812,0.0
2.331,0.993,1.319,0.025,0.023,0.01,1.376,54.552,0.0
2.367,0.99,1.274,0.026,0.03,0.012,1.342,56.084,0.0
2.365,0.991,1.262,0.028,0.029,0.012,1.33,55.99,0.0
2.492,0.99,1.313,0.025,0.03,0.011,1.379,66.037,0.0
2.377,0.992,1.28,0.027,0.028,0.012,1.347,67.498,0.0
2.246,0.99,1.256,0.023,0.03,0.011,1.32,67.041,0.0
